
[2021-12-21 12:35:49] Programme démarré
[2021-12-21 12:35:50] Touche < pressée
[2021-12-21 12:35:50] Touche < pressée
[2021-12-21 12:35:50] Touche < pressée
[2021-12-21 12:35:51] Touche < pressée
[2021-12-21 12:35:51] Touche d pressée
[2021-12-21 12:35:52] Touche d pressée
[2021-12-21 12:35:52] Touche d pressée
[2021-12-21 12:35:53] Touche d pressée
[2021-12-21 12:35:53] Touche < pressée
[2021-12-21 12:35:53] Touche ^ pressée
[2021-12-21 12:35:54] Touche s pressée
[2021-12-21 12:35:55] Touche > pressée
[2021-12-21 12:35:55] Touche > pressée
[2021-12-21 12:35:55] Touche > pressée
[2021-12-21 12:35:56] Touche s pressée
[2021-12-21 12:35:56] Touche ^ pressée
[2021-12-21 12:35:57] Touche < pressée
[2021-12-21 12:35:57] Touche > pressée
[2021-12-21 12:35:58] Touche s pressée
[2021-12-21 12:35:59] Touche > pressée
[2021-12-21 12:35:59] Touche > pressée
[2021-12-21 12:36:00] Touche < pressée
[2021-12-21 12:36:00] Touche < pressée
[2021-12-21 12:36:00] Touche d pressée
[2021-12-21 12:36:00] Touche < pressée
[2021-12-21 12:36:01] Touche < pressée
[2021-12-21 12:36:01] Touche < pressée
[2021-12-21 12:36:01] Touche ^ pressée
[2021-12-21 12:36:02] Touche s pressée
[2021-12-21 12:36:02] Touche s pressée
[2021-12-21 12:36:03] Touche ^ pressée
[2021-12-21 12:36:03] Touche s pressée
[2021-12-21 12:36:04] Touche > pressée
[2021-12-21 12:36:04] Touche < pressée
[2021-12-21 12:36:04] Touche ^ pressée
[2021-12-21 12:36:05] Touche s pressée
[2021-12-21 12:36:05] Touche > pressée
[2021-12-21 12:36:06] Touche d pressée
[2021-12-21 12:36:06] Touche < pressée
[2021-12-21 12:36:06] Touche < pressée
[2021-12-21 12:36:07] Touche < pressée
[2021-12-21 12:36:07] Touche ^ pressée
[2021-12-21 12:36:08] Touche > pressée
[2021-12-21 12:36:08] Touche < pressée
[2021-12-21 12:36:08] Touche < pressée
[2021-12-21 12:36:08] Touche < pressée
[2021-12-21 12:36:08] Touche s pressée
[2021-12-21 12:36:09] Touche < pressée
[2021-12-21 12:36:09] Touche < pressée
[2021-12-21 12:36:09] Touche < pressée
[2021-12-21 12:36:10] Touche < pressée
[2021-12-21 12:36:10] Touche d pressée
[2021-12-21 12:36:10] Touche < pressée
[2021-12-21 12:36:11] Touche ^ pressée
[2021-12-21 12:36:11] Touche > pressée
[2021-12-21 12:36:12] Touche < pressée
[2021-12-21 12:36:12] Touche < pressée
[2021-12-21 12:36:12] Touche < pressée
[2021-12-21 12:36:13] Touche < pressée
[2021-12-21 12:36:13] Touche d pressée
[2021-12-21 12:36:14] Touche ^ pressée
[2021-12-21 12:36:14] Touche > pressée
[2021-12-21 12:36:14] Touche > pressée
[2021-12-21 12:36:15] Touche s pressée
[2021-12-21 12:36:15] Touche > pressée
[2021-12-21 12:36:16] Touche > pressée
[2021-12-21 12:36:16] Touche d pressée
[2021-12-21 12:36:16] Touche d pressée
[2021-12-21 12:36:17] Touche < pressée
[2021-12-21 12:36:17] Touche < pressée
[2021-12-21 12:36:17] Touche < pressée
[2021-12-21 12:36:17] Touche < pressée
[2021-12-21 12:36:18] Touche < pressée
[2021-12-21 12:36:18] Touche d pressée
[2021-12-21 12:36:18] Touche < pressée
[2021-12-21 12:36:18] Touche < pressée
[2021-12-21 12:36:19] Touche > pressée
[2021-12-21 12:36:19] Touche > pressée
[2021-12-21 12:36:19] Touche d pressée
[2021-12-21 12:36:20] Touche < pressée
[2021-12-21 12:36:20] Touche ^ pressée
[2021-12-21 12:36:21] Touche > pressée
[2021-12-21 12:36:21] Touche > pressée
[2021-12-21 12:36:21] Touche > pressée
[2021-12-21 12:36:21] Touche ^ pressée
[2021-12-21 12:36:22] Touche < pressée
[2021-12-21 12:36:22] Touche d pressée
[2021-12-21 12:36:23] Touche < pressée
[2021-12-21 12:36:23] Touche > pressée
[2021-12-21 12:36:23] Touche > pressée
[2021-12-21 12:36:23] Touche d pressée
[2021-12-21 12:36:23] Touche d pressée
[2021-12-21 12:36:24] Touche ^ pressée
[2021-12-21 12:36:24] Touche > pressée
[2021-12-21 12:36:25] Touche < pressée
[2021-12-21 12:36:25] Touche < pressée
[2021-12-21 12:36:25] Touche d pressée
[2021-12-21 12:36:25] Touche ^ pressée
[2021-12-21 12:36:26] Touche < pressée
[2021-12-21 12:36:26] Touche d pressée
[2021-12-21 12:36:27] Touche d pressée
[2021-12-21 12:36:27] Touche < pressée
[2021-12-21 12:36:28] Touche < pressée
[2021-12-21 12:36:28] Touche ^ pressée
[2021-12-21 12:36:29] Touche > pressée
[2021-12-21 12:36:29] Touche > pressée
[2021-12-21 12:36:29] Touche d pressée
[2021-12-21 12:36:29] Touche ^ pressée
[2021-12-21 12:36:30] Touche < pressée
[2021-12-21 12:36:31] Touche < pressée
[2021-12-21 12:36:31] Touche < pressée
[2021-12-21 12:36:31] Touche < pressée
[2021-12-21 12:36:31] Touche < pressée
[2021-12-21 12:36:32] Touche d pressée
[2021
